Prase,Pitch,Duration
22,64,0.5
22,62,0.5
22,60,0.5
22,72,0.5
22,71,0.5
22,69,0.5
22,67,0.5
22,65,0.5
22,64,1.0
22,69,1.0
22,69,0.5
22,71,0.5
22,72,1.0
22,74,1.0
22,68,3.0
22,69,1.0
22,71,0.5
22,73,0.5
22,74,1.5
22,72,0.5
22,71,0.5
22,69,0.5
22,67,1.0
22,69,1.0
22,62,1.0
22,62,1.0
22,64,0.5
22,62,0.5
22,60,0.5
22,62,0.5
22,64,1.0
22,62,1.0
22,69,1.0
22,67,0.5
22,69,0.5
22,71,1.0
22,64,3.0
22,64,1.0
22,62,1.0
22,62,1.0
22,64,0.5
22,62,0.5
22,60,0.5
22,72,0.5
22,71,0.5
22,69,0.5
22,71,1.0
22,72,1.0
22,74,0.5
22,62,0.5
22,64,1.0
22,62,1.0
22,62,1.0
22,62,1.0
22,60,0.5
22,62,0.5
22,64,0.5
22,65,0.5
