Prase,Pitch,Duration
1037,60,1.0
1037,59,1.0
1037,57,1.0
1037,55,1.0
1037,55,1.0
1037,60,2.0
1037,59,1.0
1037,60,2.0
1037,62,1.0
1037,60,1.0
1037,60,1.0
1037,60,0.5
1037,59,0.5
1037,57,0.5
1037,59,0.5
1037,60,1.0
1037,60,1.0
1037,59,1.0
1037,55,2.0
1037,64,1.0
1037,62,1.0
1037,60,0.5
1037,62,0.5
1037,64,1.0
1037,64,1.0
1037,59,1.0
1037,64,1.0
1037,62,0.5
1037,60,0.5
1037,59,2.0
1037,60,1.0
1037,60,0.5
1037,62,0.5
1037,64,1.0
1037,64,1.0
1037,62,1.0
1037,62,0.5
1037,64,0.5
1037,62,0.5
1037,60,0.25
1037,59,0.25
1037,60,1.0
1037,59,2.0
1037,59,1.0
1037,60,1.0
1037,59,0.5
1037,60,0.5
1037,62,1.0
1037,60,0.5
1037,64,0.5
1037,62,0.5
1037,60,0.5
1037,59,1.0
1037,59,1.0
