Prase,Pitch,Duration
184,60,1.0
184,58,0.5
184,57,0.5
184,55,1.0
184,57,1.0
184,55,1.5
184,53,0.5
184,52,1.0
184,57,1.0
184,57,1.0
184,55,1.0
184,55,1.0
184,55,1.0
184,55,0.5
184,53,0.5
184,52,3.0
184,60,1.0
184,60,1.0
184,62,1.0
184,60,1.0
184,60,1.0
184,58,0.5
184,57,0.5
184,55,1.0
184,57,1.0
184,55,1.5
184,53,0.5
184,52,1.0
184,57,1.0
184,57,1.0
184,55,1.0
184,55,1.0
184,55,1.0
184,55,0.5
184,53,0.5
184,52,3.0
184,60,1.0
184,59,1.0
184,59,1.0
184,57,0.5
184,55,0.5
184,54,1.0
184,55,1.5
184,54,0.5
184,55,1.0
184,56,1.0
184,52,1.0
184,57,1.0
184,55,1.0
