Prase,Pitch,Duration
283,60,0.5
283,59,0.5
283,57,1.0
283,56,1.0
283,57,0.5
283,55,0.5
283,54,0.5
283,52,0.5
283,50,0.5
283,52,0.5
283,54,0.5
283,50,0.5
283,55,1.0
283,55,0.5
283,53,0.5
283,52,0.5
283,50,0.5
283,48,0.5
283,47,0.5
283,48,1.0
283,50,1.0
283,45,0.5
283,47,0.5
283,48,0.5
283,50,0.5
283,52,1.0
283,49,1.0
283,50,1.0
283,55,0.5
283,53,0.5
283,52,1.0
283,57,0.5
283,55,0.5
283,54,1.0
283,55,1.0
283,48,1.0
283,50,1.0
283,52,0.5
283,54,0.5
283,55,1.0
283,51,1.0
283,52,0.5
283,50,0.5
283,49,1.0
283,50,1.0
283,43,1.0
283,48,1.0
283,47,1.0
283,45,1.0
283,52,1.0
283,56,1.0
283,57,1.0
283,59,1.0
283,60,1.0
283,52,1.0
283,54,1.0
283,56,1.0
283,57,1.0
283,52,1.0
283,53,0.5
283,55,0.5
283,57,1.0
283,47,1.0
