Prase,Pitch,Duration
12,42,1.0
12,43,1.0
12,38,1.0
12,43,1.0
12,47,1.0
12,48,1.0
12,47,1.0
12,40,0.5
12,42,0.5
12,43,1.0
12,36,1.0
12,38,1.0
12,43,1.0
12,40,1.0
12,45,0.5
12,47,0.5
12,48,1.0
12,43,0.5
12,41,0.5
12,40,1.0
12,41,1.0
12,36,1.0
12,43,1.0
12,40,1.0
12,38,1.0
12,40,1.0
12,41,0.5
12,43,0.5
12,45,1.0
12,38,3.0
12,40,1.0
12,45,1.0
12,43,1.0
12,48,1.0
12,45,1.0
12,40,1.0
12,41,1.0
12,43,1.0
12,45,0.5
12,47,0.5
12,48,1.0
12,47,0.5
12,45,0.5
12,43,0.5
12,41,0.5
12,40,0.5
12,38,0.5
12,36,0.5
12,38,0.5
12,40,0.5
12,41,0.5
12,43,1.0
12,43,1.0
12,36,3.0
