Prase,Pitch,Duration
1050,67,0.25
1050,67,0.25
1050,72,0.25
1050,72,0.25
1050,76,0.5
1050,77,1.0
1050,76,0.25
1050,74,0.25
1050,76,1.0
1050,76,0.5
1050,77,1.0
1050,76,0.25
1050,74,0.25
1050,76,0.5
1050,64,0.25
1050,64,0.25
1050,67,0.25
1050,67,0.25
1050,72,0.25
1050,72,0.25
1050,76,0.5
1050,77,1.0
1050,76,0.25
1050,74,0.25
1050,76,1.0
1050,76,0.5
1050,77,1.0
1050,76,0.25
1050,74,0.25
1050,76,0.5
1050,64,0.25
1050,64,0.25
1050,67,0.25
1050,67,0.25
1050,72,0.25
1050,72,0.25
1050,76,0.5
1050,77,1.0
1050,76,0.25
1050,74,0.25
1050,76,1.0
