Prase,Pitch,Duration
921,65,1.0
921,64,1.0
921,62,1.0
921,64,1.0
921,64,1.0
921,64,1.0
921,62,0.5
921,64,0.5
921,65,0.5
921,64,0.5
921,62,1.0
921,60,0.75
921,62,0.25
921,62,1.0
921,60,1.0
921,60,0.5
921,62,0.5
921,64,1.0
921,65,1.0
921,67,1.0
921,65,1.0
921,64,1.0
921,62,1.0
921,64,1.0
921,64,1.0
921,64,1.0
921,62,0.5
921,64,0.5
921,65,0.5
921,64,0.5
921,62,1.0
921,60,0.75
921,62,0.25
921,62,1.0
921,60,1.0
921,60,1.0
921,62,1.0
921,64,1.0
921,65,1.0
921,64,1.0
921,62,1.5
921,61,0.5
921,62,1.0
921,62,1.0
921,64,1.0
921,65,1.0
921,67,1.0
921,65,1.0
921,64,1.0
921,62,1.0
921,64,1.0
921,64,1.0
921,64,1.0
921,62,0.5
921,64,0.5
921,65,0.5
921,64,0.5
