Prase,Pitch,Duration
1007,67,1.0
1007,65,1.0
1007,64,1.0
1007,62,1.0
1007,64,1.0
1007,60,1.0
1007,60,1.0
1007,65,1.0
1007,64,1.0
1007,62,2.0
1007,60,1.0
1007,60,0.5
1007,62,0.5
1007,64,1.0
1007,65,1.0
1007,67,1.0
1007,67,1.0
1007,69,1.0
1007,71,1.0
1007,72,1.0
1007,60,0.5
1007,62,0.5
1007,64,1.0
1007,65,1.0
1007,67,1.0
1007,67,1.0
1007,65,1.0
1007,64,1.0
1007,62,1.0
1007,64,1.0
1007,60,1.0
1007,60,1.0
1007,65,1.0
1007,64,1.0
1007,62,2.0
1007,60,1.0
1007,67,1.0
1007,62,1.0
1007,64,1.0
1007,65,1.0
1007,65,1.0
1007,64,1.0
1007,64,1.0
1007,62,1.0
1007,67,1.0
1007,69,1.0
1007,71,1.0
1007,72,1.0
