Prase,Pitch,Duration
735,64,1.0
735,65,1.0
735,64,1.0
735,62,1.0
735,64,1.0
735,62,2.0
735,60,1.0
735,60,1.0
735,60,1.0
735,62,1.0
735,64,0.5
735,66,0.5
735,67,1.0
735,67,1.0
735,66,1.0
735,67,1.0
735,64,1.0
735,65,1.0
735,64,1.0
735,62,1.0
735,64,1.0
735,62,2.0
735,60,1.0
735,62,1.0
735,62,1.0
735,64,1.0
735,65,1.0
735,65,1.0
735,64,0.5
735,62,0.5
735,64,1.0
735,62,1.0
735,64,1.0
735,64,1.0
735,64,1.0
735,65,0.5
735,67,0.5
735,69,1.0
735,69,1.0
735,68,1.0
735,69,1.0
735,71,1.0
735,72,1.0
735,64,1.0
735,65,1.0
735,64,1.0
735,62,2.0
735,62,1.0
