Prase,Pitch,Duration
24,74,1.0
24,68,3.0
24,69,1.0
24,71,0.5
24,73,0.5
24,74,1.5
24,72,0.5
24,71,0.5
24,69,0.5
24,67,1.0
24,69,1.0
24,62,1.0
24,62,1.0
24,64,0.5
24,62,0.5
24,60,0.5
24,62,0.5
24,64,1.0
24,62,1.0
24,69,1.0
24,67,0.5
24,69,0.5
24,71,1.0
24,64,3.0
24,64,1.0
24,62,1.0
24,62,1.0
24,64,0.5
24,62,0.5
24,60,0.5
24,72,0.5
24,71,0.5
24,69,0.5
24,71,1.0
24,72,1.0
24,74,0.5
24,62,0.5
24,64,1.0
24,62,1.0
24,62,1.0
24,62,1.0
24,60,0.5
24,62,0.5
24,64,0.5
24,65,0.5
24,62,1.0
24,67,1.5
24,65,0.5
24,64,1.0
24,65,1.0
24,67,1.0
24,65,0.5
24,67,0.5
24,69,1.0
