Prase,Pitch,Duration
33,76,0.5
33,77,1.0
33,76,0.25
33,74,0.25
33,76,0.5
33,64,0.25
33,64,0.25
33,67,0.25
33,67,0.25
33,72,0.25
33,72,0.25
33,76,0.5
33,77,1.0
33,76,0.25
33,74,0.25
33,76,1.0
33,76,0.5
33,77,1.0
33,76,0.25
33,74,0.25
33,76,0.5
33,64,0.25
33,64,0.25
33,67,0.25
33,67,0.25
33,72,0.25
33,72,0.25
33,76,0.5
33,77,1.0
33,76,0.25
33,74,0.25
33,76,1.0
33,76,0.5
33,77,1.0
33,76,0.25
33,74,0.25
33,76,0.5
33,64,0.25
33,64,0.25
33,67,0.25
33,67,0.25
33,72,0.25
33,72,0.25
33,76,0.5
33,77,1.0
33,76,0.25
33,74,0.25
33,76,1.0
