Prase,Pitch,Duration
25,72,0.5
25,74,0.5
25,76,1.0
25,77,1.0
25,79,1.0
25,79,2.0
25,72,1.0
25,71,1.0
25,71,1.0
25,72,0.5
25,70,0.5
25,69,0.5
25,71,0.5
25,72,1.0
25,71,1.0
25,72,0.5
25,74,0.5
25,76,0.5
25,72,0.5
25,67,1.0
25,67,3.0
25,67,0.5
25,69,0.5
25,71,1.0
25,69,0.5
25,71,0.5
25,72,0.5
25,74,0.5
25,76,1.0
25,74,0.5
25,72,0.5
25,71,0.5
25,69,0.5
25,67,1.0
25,67,2.0
25,66,1.0
25,67,1.0
25,67,1.0
25,64,1.0
25,69,1.0
25,71,1.0
25,72,0.5
25,74,0.5
25,76,1.0
25,69,1.0
25,69,0.5
25,71,0.5
25,72,0.5
25,71,0.5
25,69,0.5
25,71,0.5
25,72,1.0
25,67,1.0
25,67,3.0
