Prase,Pitch,Duration
484,64,1.0
484,64,1.0
484,60,0.5
484,64,0.5
484,65,0.5
484,62,0.5
484,64,0.5
484,59,0.5
484,60,3.0
484,55,1.0
484,57,0.5
484,59,0.5
484,60,1.0
484,53,1.0
484,55,1.0
484,57,0.5
484,53,0.5
484,50,0.5
484,55,0.5
484,55,1.0
484,64,1.0
484,64,1.0
484,60,0.5
484,64,0.5
484,65,0.5
484,62,0.5
484,64,0.5
484,59,0.5
484,60,3.0
484,62,1.0
484,62,1.0
484,60,1.0
484,60,1.0
484,62,0.5
484,59,0.5
484,64,1.5
484,57,0.5
484,64,1.0
484,60,1.0
484,60,1.0
484,60,1.0
484,57,1.0
484,57,0.5
484,56,0.5
484,55,3.0
484,62,1.0
484,62,1.5
484,57,0.5
484,55,1.0
484,55,0.5
484,55,0.5
484,55,0.5
484,57,0.5
484,54,1.0
484,55,1.0
