Prase,Pitch,Duration
1,48,1.0
1,52,1.0
1,50,1.0
1,48,1.0
1,48,0.5
1,50,0.5
1,52,1.0
1,50,1.0
1,48,1.0
1,48,1.0
1,47,1.0
1,48,0.5
1,50,0.5
1,52,1.0
1,50,0.5
1,48,0.5
1,48,1.0
1,47,1.0
1,48,1.0
1,48,1.0
1,52,1.0
1,50,1.0
1,48,1.0
1,48,0.5
1,50,0.5
1,52,1.0
1,50,1.0
1,48,1.0
1,48,1.0
1,47,1.0
1,48,0.5
1,50,0.5
1,52,1.0
1,50,0.5
1,48,0.5
1,48,1.0
1,47,1.0
1,48,1.0
1,52,1.0
1,53,0.5
1,52,0.5
1,50,1.0
1,55,1.0
1,55,1.0
1,55,0.5
1,53,0.5
1,52,0.5
1,50,0.5
1,48,1.0
1,48,0.5
1,47,0.5
1,45,1.0
1,43,1.0
1,43,0.5
1,47,0.5
1,45,0.5
1,43,0.5
1,43,1.0
1,42,1.0
1,43,1.0
