Prase,Pitch,Duration
12,62,1.0
12,59,1.0
12,57,1.0
12,55,1.0
12,62,1.0
12,64,1.0
12,62,1.0
12,60,1.0
12,59,0.5
12,57,0.5
12,59,1.0
12,57,1.0
12,55,1.0
12,67,1.0
12,65,1.0
12,64,1.0
12,62,1.0
12,60,1.0
12,60,0.5
12,62,0.5
12,64,1.0
12,62,1.0
12,64,1.0
12,65,1.0
12,64,1.0
12,62,1.0
12,61,1.0
12,62,3.0
12,55,1.0
12,60,1.0
12,62,1.0
12,64,1.0
12,65,1.0
12,67,1.0
12,65,0.5
12,64,0.5
12,62,1.0
12,65,1.0
12,64,1.0
12,62,1.0
12,67,1.0
12,67,0.5
12,65,0.5
12,64,0.5
12,62,0.5
12,60,0.5
12,62,0.5
12,64,1.0
12,62,1.0
12,60,3.0
