Prase,Pitch,Duration
559,43,1.0
559,48,3.0
559,47,1.0
559,48,0.5
559,46,0.5
559,45,0.5
559,43,0.5
559,41,1.0
559,43,1.0
559,45,1.0
559,47,1.0
559,48,1.0
559,48,1.0
559,53,0.5
559,52,0.5
559,50,0.5
559,48,0.5
559,55,1.0
559,43,1.0
559,48,3.0
559,47,0.5
559,45,0.5
559,43,0.5
559,55,0.5
559,53,0.5
559,52,0.5
559,50,0.5
559,48,0.5
559,47,1.0
559,48,1.0
559,40,0.5
559,41,0.5
559,43,1.0
559,43,1.0
559,48,0.5
559,47,0.5
559,45,0.5
559,43,0.5
559,48,1.0
559,50,1.0
559,43,3.0
559,43,1.0
559,48,0.5
559,46,1.0
559,45,0.25
559,43,0.25
559,41,0.5
559,52,0.5
559,50,0.5
559,49,0.5
559,50,0.5
559,52,0.5
559,53,0.5
559,55,0.5
559,57,1.0
559,57,0.5
559,55,0.5
559,53,0.5
559,52,0.5
559,50,0.5
559,48,0.5
559,55,1.0
