Prase,Pitch,Duration
604,60,1.0
604,59,1.0
604,60,2.0
604,60,1.0
604,60,1.0
604,60,1.0
604,60,1.0
604,60,1.0
604,59,1.0
604,64,1.0
604,64,1.0
604,60,1.0
604,60,0.5
604,59,0.5
604,57,0.5
604,59,0.5
604,60,1.0
604,60,1.0
604,59,1.0
604,60,2.0
604,59,1.0
604,59,1.0
604,60,1.0
604,59,1.0
604,64,1.0
604,62,0.5
604,60,0.5
604,59,1.0
604,59,1.0
604,62,0.5
604,64,0.5
604,65,1.0
604,64,1.0
604,64,1.0
604,64,1.5
604,62,0.5
604,60,1.0
604,60,1.0
604,60,1.0
604,60,1.0
604,60,1.0
604,59,1.0
604,60,1.0
604,60,1.0
604,59,2.0
604,60,1.0
604,60,0.5
604,59,0.5
604,57,0.5
604,59,0.5
604,60,1.0
