Prase,Pitch,Duration
637,38,1.0
637,40,0.5
637,41,0.5
637,43,1.0
637,43,1.0
637,48,1.0
637,47,0.5
637,45,0.5
637,47,1.0
637,48,1.0
637,41,1.0
637,43,1.0
637,36,2.0
637,48,1.0
637,45,1.0
637,40,1.0
637,45,1.0
637,38,1.0
637,40,0.5
637,41,0.5
637,43,1.0
637,43,1.0
637,48,1.0
637,47,0.5
637,45,0.5
637,47,1.0
637,48,1.0
637,41,1.0
637,43,1.0
637,36,2.0
637,43,1.0
637,41,0.5
637,40,0.5
637,38,0.5
637,41,0.5
637,46,0.5
637,45,0.5
637,43,0.5
637,40,0.5
637,45,1.0
637,38,2.0
637,50,1.0
637,48,0.5
637,46,0.5
637,45,0.5
637,43,0.5
637,41,1.0
637,46,1.0
637,48,1.0
637,41,2.0
637,48,1.0
637,50,1.0
637,52,1.0
637,45,1.0
