Prase,Pitch,Duration
374,60,1.5
374,59,0.5
374,60,1.0
374,60,0.5
374,59,0.25
374,57,0.25
374,59,1.0
374,55,2.0
374,58,1.0
374,58,0.5
374,57,0.5
374,55,1.0
374,53,1.5
374,52,0.5
374,53,1.5
374,52,0.25
374,50,0.25
374,52,1.0
374,48,1.0
374,55,1.0
374,60,0.5
374,58,0.5
374,57,2.0
374,55,1.0
374,57,2.0
374,60,1.0
374,60,1.5
374,59,0.5
374,60,1.0
374,60,0.5
374,59,0.25
374,57,0.25
374,59,1.0
374,55,2.0
374,58,1.0
374,58,0.5
374,57,0.5
374,55,1.0
374,53,1.5
374,52,0.5
374,53,1.5
374,52,0.25
374,50,0.25
374,52,1.0
374,48,1.0
374,57,1.0
374,55,0.5
374,53,0.5
374,55,0.5
374,58,0.5
374,57,0.5
374,55,0.25
374,53,0.25
374,52,0.5
374,54,0.5
374,55,0.5
374,60,1.0
374,59,0.5
374,55,1.0
