Prase,Pitch,Duration
477,67,1.0
477,64,1.0
477,60,1.0
477,67,1.0
477,67,1.0
477,69,2.0
477,69,1.0
477,62,1.0
477,62,1.0
477,67,1.0
477,65,1.0
477,64,1.0
477,62,1.0
477,60,1.0
477,67,1.0
477,69,1.0
477,69,1.0
477,67,1.0
477,65,1.0
477,64,2.0
477,62,1.0
477,64,1.0
477,66,1.0
477,67,1.0
477,69,0.5
477,71,0.25
477,72,0.25
477,71,1.0
477,69,1.0
477,67,1.0
477,67,1.0
477,67,1.0
477,67,1.0
477,72,1.0
477,70,0.5
477,69,0.5
477,69,2.0
477,69,1.0
477,69,1.0
477,69,1.0
477,74,1.0
477,72,0.5
477,71,0.5
477,71,2.0
