Prase,Pitch,Duration
26,71,0.5
26,69,0.5
26,67,1.0
26,69,1.0
26,62,1.0
26,62,1.0
26,64,0.5
26,62,0.5
26,60,0.5
26,62,0.5
26,64,1.0
26,62,1.0
26,69,1.0
26,67,0.5
26,69,0.5
26,71,1.0
26,64,3.0
26,64,1.0
26,62,1.0
26,62,1.0
26,64,0.5
26,62,0.5
26,60,0.5
26,72,0.5
26,71,0.5
26,69,0.5
26,71,1.0
26,72,1.0
26,74,0.5
26,62,0.5
26,64,1.0
26,62,1.0
26,62,1.0
26,62,1.0
26,60,0.5
26,62,0.5
26,64,0.5
26,65,0.5
26,62,1.0
26,67,1.5
26,65,0.5
26,64,1.0
26,65,1.0
26,67,1.0
26,65,0.5
26,67,0.5
26,69,1.0
26,62,1.0
26,64,3.0
26,67,1.0
26,67,0.5
26,65,0.5
26,64,0.5
26,62,0.5
26,60,1.0
