Prase,Pitch,Duration
27,62,1.0
27,64,0.5
27,62,0.5
27,60,0.5
27,62,0.5
27,64,1.0
27,62,1.0
27,69,1.0
27,67,0.5
27,69,0.5
27,71,1.0
27,64,3.0
27,64,1.0
27,62,1.0
27,62,1.0
27,64,0.5
27,62,0.5
27,60,0.5
27,72,0.5
27,71,0.5
27,69,0.5
27,71,1.0
27,72,1.0
27,74,0.5
27,62,0.5
27,64,1.0
27,62,1.0
27,62,1.0
27,62,1.0
27,60,0.5
27,62,0.5
27,64,0.5
27,65,0.5
27,62,1.0
27,67,1.5
27,65,0.5
27,64,1.0
27,65,1.0
27,67,1.0
27,65,0.5
27,67,0.5
27,69,1.0
27,62,1.0
27,64,3.0
27,67,1.0
27,67,0.5
27,65,0.5
27,64,0.5
27,62,0.5
27,60,1.0
27,60,1.0
27,60,3.0
