Prase,Pitch,Duration
21,62,1.0
21,59,3.0
21,64,0.5
21,62,0.5
21,60,0.5
21,72,0.5
21,71,0.5
21,69,0.5
21,67,0.5
21,65,0.5
21,64,1.0
21,69,1.0
21,69,0.5
21,71,0.5
21,72,1.0
21,74,1.0
21,68,3.0
21,69,1.0
21,71,0.5
21,73,0.5
21,74,1.5
21,72,0.5
21,71,0.5
21,69,0.5
21,67,1.0
21,69,1.0
21,62,1.0
21,62,1.0
21,64,0.5
21,62,0.5
21,60,0.5
21,62,0.5
21,64,1.0
21,62,1.0
21,69,1.0
21,67,0.5
21,69,0.5
21,71,1.0
21,64,3.0
21,64,1.0
21,62,1.0
21,62,1.0
21,64,0.5
21,62,0.5
21,60,0.5
21,72,0.5
21,71,0.5
21,69,0.5
21,71,1.0
21,72,1.0
21,74,0.5
21,62,0.5
21,64,1.0
21,62,1.0
21,62,1.0
