Phrase,Measure,Pitch,Duration
1817,13,62,0.5
1817,13,55,0.25
1817,13,55,0.25
1817,13,55,0.25
1817,13,55,0.25
1817,13,55,0.25
1817,13,55,0.25
1817,13,60,1.0
1817,14,60,1.0
1817,14,62,0.25
1817,14,60,0.25
1817,14,62,0.25
1817,14,64,0.25
1817,14,62,1.0
1817,14,60,1.0
1817,15,60,1.0
1817,15,60,0.5
1817,15,55,0.5
1817,15,60,0.5
1817,15,55,0.5
1817,15,67,0.5
1817,15,65,0.25
1817,15,64,0.25
1817,16,65,0.5
1817,16,67,0.25
1817,16,65,0.25
1817,16,64,0.5
1817,16,62,0.5
1817,16,60,0.5
1817,16,55,0.5
1817,16,67,1.0
